Pos	Strand	Score
-248609	+	9.5077
-248171	+	5.3208
-247998	+	9.5077
-247843	-	5.8459
-247559	+	7.4442
-247502	+	9.5077
-247455	+	6.7738
-247341	-	5.7299
-246936	+	5.0337
-246931	-	6.5175
-246711	+	5.4967
-246531	+	5.7299
-246344	+	6.9191
-246214	-	6.3120
-246178	+	9.2451
-245880	+	5.0876
-245796	+	6.9812
-245738	-	5.3513
-245419	-	7.0972
-244735	+	11.8337
-244576	+	6.0483
-244568	+	10.1780
-244507	-	5.5771
-244467	-	9.4538
-244392	+	5.3778
-244170	-	5.8293
-243908	-	7.1511
-243510	+	6.0218
-243373	+	6.5721
-243367	-	9.2451
-243329	-	5.8459
-243205	+	8.0840
-242261	-	5.9016
-241985	-	5.8459
-241578	-	5.3208
-241365	-	6.1022
-241179	-	7.1816
-241176	+	6.5100
-240841	-	9.0447
-240116	-	7.0351
-240102	-	6.1377
-240090	+	5.7856
-239829	-	5.0582
-239185	+	5.1141
-238929	+	6.4561
-238780	+	9.2451
-238604	+	8.7849
-238591	-	6.7724
-238511	-	9.2451
-238114	-	6.6260
-238097	-	6.5100
-238094	+	6.7724
-238074	+	5.3794
-237612	+	7.8226
-237535	-	7.1713
-236999	+	5.7299
-236822	-	5.3794
-236659	+	6.9825
-236557	+	6.5734
-236502	-	5.6392
-236241	-	7.1879
-236025	+	7.0985
-235627	-	6.0483
-235604	-	6.5721
-235469	+	9.0447
-235284	+	6.9191
-235064	-	5.3564
-235061	+	5.7856
-234574	+	7.3625
-234461	-	6.2550
-234458	+	6.5175
-234449	+	5.7856
-234331	-	6.9825
-233978	+	8.0840
-233694	+	8.5735
-233411	+	5.7856
-233059	+	6.5175
-232354	+	10.1793
-232190	+	6.3107
-232013	+	5.8459
-231994	-	12.9132
-231856	-	5.0950
-231423	+	5.9045
-231416	-	6.1377
-230998	-	6.7788
-230819	+	6.5175
-230747	+	5.3778
-230645	+	5.9924
-230294	+	5.8293
-230113	-	6.5734
-230087	+	5.7856
-229622	+	6.3647
-229492	+	6.3107
-229158	-	12.6506
-229088	-	8.7263
-228998	-	6.5175
-228950	-	9.4538
-228416	+	6.5734
-228401	+	6.4806
-228255	-	6.9191
-227920	-	7.4429
-227886	-	7.8226
-227793	+	8.7263
-227591	-	6.9812
-227550	-	5.8459
-227443	-	6.5175
-227301	+	6.1377
-227244	+	11.0817
-227054	-	6.7801
-227031	+	5.3778
-226716	+	5.8764
-226649	-	9.2514
-226584	+	7.1816
-226427	-	7.0351
-226185	-	5.0950
-225235	-	5.7856
-225144	-	6.5734
-225029	+	5.1755
-225008	-	6.5734
-224752	-	5.5601
-224548	-	8.7263
-224541	+	5.8459
-224375	-	6.0483
-224349	+	5.7856
-223782	+	6.5734
-223764	+	8.9826
-223619	-	6.6273
-223098	+	6.3107
-223036	-	9.2514
-222893	+	5.6392
-222841	-	11.7177
-222710	+	5.3208
-222489	-	6.3107
-222338	+	5.0950
-222202	+	6.5734
-222097	-	5.3778
-222006	-	5.3564
-221723	+	8.3771
-221634	-	6.7738
-221356	+	5.8764
-221349	+	6.3120
-221196	+	7.8226
-221163	+	8.7263
-221025	+	11.2281
-221020	-	7.1585
-220848	+	6.3107
-220821	-	5.9029
-220804	+	7.8290
-220671	-	7.4148
-219949	-	5.2404
-219709	-	9.2451
-219641	-	11.0817
-219499	+	6.1022
-219020	-	5.0350
-218674	+	7.7067
-218667	+	6.2487
-218390	+	5.8396
-218366	+	5.5771
-217867	-	7.4442
-216996	-	7.4429
-216799	+	5.8459
-216323	+	6.0483
-216092	+	6.5100
-216050	+	7.0351
-215392	+	9.2451
-213794	-	7.8520
-213712	-	5.3208
-213550	+	6.2487
-213499	-	8.0840
-213496	+	7.2975
-213179	+	6.5100
-212754	+	9.9155
-212368	+	6.5175
-212230	-	7.4442
-211871	+	5.8459
-211829	+	6.9812
-211733	-	6.7738
-208257	-	5.0876
-208218	+	7.1713
-207744	+	5.0337
-207543	-	6.7198
-207472	+	6.2487
-207137	+	6.5175
-207114	-	5.0876
-207093	+	8.3122
-206797	+	6.5175
-206678	-	6.0205
-206675	+	7.1816
-206621	+	7.4429
-206315	+	9.2451
-205707	-	6.2550
-205411	+	6.6628
-204955	-	6.7788
-204952	+	5.7591
-204945	-	6.0483
-204837	-	6.5469
-204804	-	5.4673
-204678	-	5.8459
-204169	-	5.7856
-204166	+	5.3564
-204122	-	5.1755
-203613	-	7.4429
-203354	-	5.9924
-203207	-	7.4148
-202764	-	8.9826
-202440	+	5.9924
-202191	-	5.1244
-202000	+	6.1022
-201693	+	5.8459
-201623	-	6.5100
-201602	-	9.5077
-201325	+	7.8520
-201201	-	6.5734
-200670	+	5.7591
-200523	-	5.1141
-200331	+	5.0876
-198977	-	8.7263
-198377	-	6.5175
-198374	+	6.7801
-198219	-	8.7834
-197817	+	5.8459
-197653	+	5.3794
-197575	+	8.0559
-197385	+	5.6329
-197360	+	8.5196
-197323	-	12.6506
-196785	-	6.5734
-196664	-	6.7738
-196079	-	10.3246
-196040	+	5.2049
-195960	-	6.1377
-195909	+	5.8293
-195781	-	6.9191
-194441	-	5.8459
-194375	+	6.7738
-194153	+	6.4296
-193202	-	9.5064
-193183	-	7.8520
-193124	+	5.6392
-192965	+	6.0205
-192830	-	6.0483
-192430	-	7.8520
-191989	-	6.4561
-191809	-	12.6506
-191280	+	6.5100
-190891	-	7.5602
-190778	+	5.3208
-190243	-	5.6392
-190226	-	5.4673
-188989	-	7.0972
-188912	+	8.9826
-188506	-	6.6628
-188438	+	5.3208
-188300	+	6.0483
-188264	+	6.5175
-188091	-	10.8484
-187890	+	6.5100
-187757	-	5.3794
-187161	-	6.9191
-186501	+	6.4561
-186228	-	5.0876
-185691	-	6.9812
-185543	-	6.3107
-185304	-	6.1097
-185119	+	5.1078
-185016	+	6.3107
-185002	+	9.9155
-184634	-	6.4574
-184483	+	7.8226
-184457	+	6.0218
-184275	+	7.3903
-183578	+	6.5721
-183131	-	6.2550
-182929	-	7.2989
-182687	-	6.1643
-182636	-	6.1643
-182180	-	5.7655
-181810	+	7.0985
-181557	+	6.9812
-181275	-	8.8373
-181184	-	7.1713
-180815	+	6.0483
-180567	+	5.7489
-180519	+	5.0337
-180373	+	6.2487
-180285	-	14.7141
-180230	-	5.0876
-180027	+	5.7856
-179939	-	5.7286
-179655	+	5.1755
-179562	-	5.6392
-179515	+	5.1755
-179480	+	5.1755
-179379	-	7.2873
-179134	-	7.2873
-179113	+	6.5175
-179064	-	7.2873
-178955	+	9.2451
-178889	-	7.2873
-178850	+	5.1755
-178815	+	5.8459
-178570	+	6.5175
-178504	-	7.2873
-178364	-	7.2873
-178123	-	7.2873
-178032	+	9.2451
-177997	+	7.1816
-177948	-	7.2873
-177773	-	7.2873
-177603	-	5.3500
-177179	-	7.2873
-177140	+	5.1755
-176969	-	7.2873
-176948	+	9.2451
-176829	-	7.2873
-176720	+	5.1755
-176703	+	5.1755
-176514	-	7.2873
-176129	-	6.7788
-175861	+	5.9924
-174451	-	6.0483
-174151	+	6.9191
-173812	-	6.4574
-173730	-	8.5196
-173397	+	6.7801
-173289	-	5.6392
-173080	-	7.1816
-172865	+	9.2514
-172732	+	5.9029
-172689	+	5.2404
-172642	+	6.4267
-172513	+	6.7635
-172484	-	7.0972
-172370	+	9.8351
-172366	+	8.8373
-172315	-	5.3500
-172228	-	7.8520
-172181	-	5.4938
-171972	+	8.5810
-171916	+	6.7724
-171636	+	5.0876
-171401	+	7.4429
-171383	+	7.0351
-170754	+	5.0950
-170336	+	6.0483
-169102	+	7.6223
-169055	-	9.0182
-168985	-	6.5734
-168749	-	5.6392
-168730	-	5.3208
-168326	-	6.0218
-168322	-	6.5100
-167601	-	6.5734
-167565	-	7.3039
-167541	+	6.2487
-167397	+	5.3208
-167047	-	5.7856
-167021	+	6.5734
-166909	+	6.5100
-166329	+	6.8897
-165991	-	6.5175
-164650	+	5.6392
-164449	+	7.4442
-164289	+	5.3208
-163168	-	6.5734
-162993	+	6.5100
-162801	+	9.9155
-162181	-	5.9924
-161784	-	6.7738
-161658	+	5.8293
-160952	+	5.8293
-160747	+	8.7849
-160461	-	7.2975
-160084	+	8.2012
-159422	-	5.8293
-158702	+	9.0447
-158568	-	8.0853
-158343	-	13.3210
-158215	-	5.8459
-158142	-	7.9399
-157883	+	6.0483
-157472	+	7.1511
-157372	+	6.3107
-157114	-	5.7006
-157095	+	7.4148
-157012	+	8.7263
-156786	+	6.5456
-156680	-	9.2348
-156602	-	5.7655
-156591	-	5.6392
-156568	+	7.5602
-156209	-	5.8459
-155909	-	6.5734
-155901	-	8.7834
-155659	+	13.3210
-155531	+	6.9812
-154753	-	6.0483
-154701	-	5.0876
-154600	-	6.3107
-154496	-	7.8520
-154312	+	9.9155
-154213	-	5.2404
-153314	-	7.4429
-153281	-	6.5175
-153274	+	8.7263
-152815	+	6.1377
-152647	-	9.5077
-152542	-	6.2487
-152508	-	5.8293
-151505	+	5.4673
-151287	+	5.0876
-151253	-	9.5077
-150468	-	6.2384
-150199	-	5.8459
-150159	-	7.3039
-150065	+	6.1022
-149894	-	5.3208
-149827	-	7.8226
-149734	+	6.7801
-149612	-	10.5566
-149304	-	9.9155
-148389	-	5.4938
-148324	+	5.1141
-148162	+	6.1377
-148050	+	5.6392
-148045	+	6.5721
-147997	-	7.1879
-147770	-	11.9790
-147679	+	5.4967
-147655	-	7.8226
-147627	-	7.2873
-147091	-	5.8459
-146812	+	6.5734
-145188	-	10.5871
-144867	-	7.4442
-144776	+	5.2238
-144377	-	9.0447
-144312	-	9.0182
-143771	+	5.3208
-143420	-	5.3208
-143211	-	9.0447
-143206	-	5.3778
-143197	-	5.0950
-143193	-	9.2514
-143084	+	6.4574
-142831	-	5.2238
-142807	+	7.4429
-142425	+	8.0853
-141984	-	9.2451
-141897	+	8.0853
-141774	+	8.2012
-141764	+	9.2451
-141449	+	9.2514
-141297	-	6.0483
-141290	-	6.7801
-141247	-	6.0483
-140930	-	8.8373
-140362	-	6.5100
-139881	-	6.7724
-139693	-	5.8459
-139410	-	6.6260
-139321	+	7.9693
-139318	-	6.1022
-139284	+	5.7870
-138947	+	6.1022
-138798	+	9.2514
-138689	+	8.9826
-137774	-	8.9826
-137604	-	6.8358
-136901	-	8.3122
-136736	-	6.6628
-136409	+	6.9812
-135985	-	6.9191
-135807	+	6.0483
-135624	-	6.7738
-135303	+	6.1022
-135210	-	5.0876
-134821	+	5.3778
-134556	-	5.5846
-134513	+	5.8293
-134492	+	5.1510
-134477	-	5.0337
-133791	+	7.9680
-132756	-	6.0483
-132691	+	5.8459
-132485	+	11.9790
-132212	+	7.3903
-131698	-	5.7299
-131667	-	6.9191
-131262	+	6.7738
-130624	+	5.1755
-130522	+	6.7724
-129861	+	6.5175
-129759	-	5.0595
-129184	-	6.5100
-128697	-	6.3107
-128628	-	5.8459
-128288	+	7.4429
-127956	+	10.1793
-127576	-	6.0205
-127392	+	8.7263
-127343	-	10.8497
-127289	+	8.7263
-127182	+	8.7263
-127133	-	10.8497
-127079	+	8.7263
-126972	+	8.7263
-126923	-	10.8497
-126869	+	8.7263
-126712	-	11.9790
-126585	+	7.5063
-126320	+	9.0447
-126265	+	5.7655
-126245	+	15.3846
-126171	+	5.6392
-126161	-	9.2514
-126128	+	6.2550
-125963	+	10.5566
-125429	+	6.2537
-125358	-	6.4280
-125090	-	5.8396
-125021	-	8.7834
-124768	+	11.9790
-124321	+	5.1141
-124241	-	6.5175
-123557	-	6.9812
-123327	-	5.6392
-123052	+	8.3771
-122990	+	6.4267
-122949	+	6.9812
-122897	-	6.5175
-122608	+	6.5734
-122598	+	9.4538
-122569	+	6.9191
-122501	-	7.1879
-122463	+	9.2451
-122368	-	5.3513
-122361	-	5.3513
-122344	-	6.3107
-122261	-	6.7801
-122212	+	5.7299
-122041	-	5.3513
-121796	+	6.7801
-121448	+	8.7849
-121444	+	6.7738
-121384	-	5.6392
-121331	-	5.3208
-121181	-	8.7263
-121170	+	7.1713
-121118	+	9.5077
-121038	-	6.1022
-120682	-	6.5100
-119738	-	6.4561
-118180	-	5.3500
-117762	+	8.7263
-117636	-	5.3778
-116997	-	9.2451
-116953	+	5.0950
-116890	+	5.7856
-116811	-	5.8459
-116499	-	7.4429
-116338	+	5.0876
-114708	+	6.2487
-114439	-	11.9790
-114302	+	6.2487
-114129	+	12.3882
-113892	+	7.9031
-113884	-	10.0328
-113779	+	6.2550
-113696	+	8.2012
-113431	+	6.2550
-113125	+	6.2550
-113120	+	8.0314
-112829	-	5.7655
-112824	-	5.9924
-112612	-	6.1097
-111667	-	5.9924
-111017	+	6.5734
-110569	+	10.4406
-110480	+	8.3122
-110226	-	7.4442
-110218	+	5.8293
-110162	+	10.8497
-110009	+	7.0351
-109833	-	6.0483
-109749	+	6.5734
-109646	-	7.0972
-108555	+	7.0351
-108546	-	7.4442
-108535	-	5.9045
-107979	+	6.0483
-107653	+	5.8459
-107374	-	7.0351
-106667	-	5.3500
-106659	-	11.9790
-106414	+	5.7856
-106067	+	5.7856
-105938	-	8.0853
-105800	-	6.9191
-104781	+	5.3208
-104704	+	5.0950
-104564	+	6.0483
-104548	+	6.3120
-104545	-	5.1755
-104341	+	5.3794
-103695	-	6.5100
-103675	+	7.4429
-103525	+	6.1377
-103345	+	5.8396
-103228	-	5.7856
-103031	-	9.2451
-102904	+	5.0595
-102468	-	6.6628
-102324	+	5.7286
-101839	+	8.8360
-101789	-	5.5587
-101432	-	9.4260
-101199	-	10.8203
-100888	+	5.0950
-100774	-	6.4561
-100748	+	6.5734
-100539	-	9.2348
-100168	-	7.2873
-99999	-	9.9155
-99620	+	6.3647
-99573	-	9.5077
-99166	-	7.0351
-98804	-	5.3564
-98700	-	6.3120
-98668	+	8.7834
-98662	-	6.3107
-98591	-	8.7834
-98210	-	6.5175
-98116	+	5.1244
-98103	-	5.7856
-97983	-	7.3625
-97634	-	5.0595
-97590	+	5.8459
-97454	+	5.1755
-97407	+	5.7856
-97304	-	5.0950
-97175	-	7.0351
-97142	-	7.1816
-96960	-	7.2886
-96934	+	6.1022
-96723	+	6.1022
-96649	+	5.3500
-96510	+	8.4282
-96471	-	9.9155
-96384	+	5.3794
-96224	-	7.1879
-96027	-	5.0950
-96001	-	12.3882
-95986	-	7.9399
-95814	-	6.2550
-95535	-	5.0950
-95167	-	5.1755
-94507	-	5.5846
-94295	-	6.5734
-93916	-	6.5175
-93862	+	6.2384
-93727	+	6.2537
-93722	+	6.2550
-93464	+	5.8293
-93405	-	5.6392
-93302	-	5.3208
-93236	-	6.7801
-92800	-	12.5041
-92710	-	5.1244
-92682	-	6.5734
-92656	+	5.7856
-92566	+	5.8459
-92307	+	7.4429
-92153	+	5.6392
-91832	-	7.9031
-91825	-	6.7801
-91395	-	5.3778
-91278	-	5.3778
-91219	-	5.3778
-91135	-	5.3778
-89858	+	7.6762
-89768	-	5.7006
-89722	-	7.0972
-89625	+	8.3742
-89557	-	5.9016
-89426	-	5.0950
-89333	-	6.3120
-89168	-	6.1097
-89111	-	6.5734
-88853	+	6.5175
-88542	-	8.5735
-88288	-	6.2550
-88120	-	6.5721
-87939	-	5.7299
-87566	-	5.0950
-87425	+	7.1511
-87409	-	5.9924
-87039	-	5.0337
-87036	+	6.4296
-87029	+	5.4967
-86980	-	6.7801
-86699	+	5.8459
-86333	-	12.3882
-86195	+	6.5175
-86176	-	10.4406
-85850	+	5.7870
-85747	+	6.6628
-85740	-	10.5871
-85559	-	9.4538
-85408	+	5.8459
-85292	+	5.8459
-85271	-	5.9029
-85130	-	5.0950
-84928	-	5.8459
-84873	-	7.5602
-84852	+	5.8459
-84768	-	6.9191
-84603	+	6.4267
-84532	-	5.3778
-84488	+	5.9924
-84238	-	6.1022
-83966	+	6.2487
-83868	+	6.8358
-83596	+	5.8459
-83526	+	6.9812
-83346	-	5.3577
-83135	-	6.3107
-83074	-	5.7299
-83066	-	5.8459
-82682	+	5.7655
-82657	+	5.3778
-82531	+	7.0351
-82305	+	7.1585
-82028	-	7.2873
-81905	-	5.5771
-81855	+	6.3107
-81841	+	6.5175
-81812	-	6.1022
-81803	+	5.0337
-81182	+	9.5077
-81038	-	5.9924
-81021	+	5.3778
-80988	-	6.5175
-80893	+	5.0876
-80741	-	5.8293
-80693	+	9.2514
-80507	+	8.3742
-80435	+	12.5041
-80220	-	6.8795
-79879	+	8.7834
-79777	-	11.3086
-79675	-	6.3710
-79658	+	5.6392
-79575	+	6.5734
-79565	-	13.3210
-79277	+	5.9029
-79222	-	5.2049
-79159	-	7.4442
-79139	+	7.0972
-79116	+	9.4538
-78711	-	6.5175
-78697	-	5.2974
-78598	+	6.5175
-77985	-	6.8358
-77846	-	11.9790
-77791	+	9.2348
-77725	+	5.6329
-77700	-	6.9812
-77580	+	5.8293
-77480	-	6.7724
-77420	+	9.2451
-77366	-	6.6628
-77294	-	6.8358
-76994	+	6.0483
-76932	+	7.5308
-76863	+	11.9790
-76773	+	6.8358
-76498	+	9.2514
-76296	-	8.3375
-76167	-	5.4938
-76007	-	7.1585
-75925	-	6.8358
-75763	+	7.1585
-75762	-	7.1585
-75467	+	6.3107
-75440	+	6.1097
-75417	+	5.3577
-75356	+	10.1793
-75206	+	8.7568
-75170	-	9.2514
-74773	+	6.5456
-74611	-	5.6392
-74526	-	5.5601
-74415	+	5.5601
-74206	+	5.1755
-74139	+	8.0853
-73817	+	6.7724
-73309	-	6.5175
-73081	+	5.2251
-73071	+	7.1879
-73052	-	6.7738
-72894	+	8.7834
-72856	-	6.5175
-72166	-	7.1879
-72159	+	8.7263
-71825	-	6.5734
-71686	-	5.0950
-71526	+	5.2404
-71296	+	5.8459
-70801	-	6.8795
-70594	+	9.0447
-70554	-	5.3208
-70455	-	6.7738
-70177	+	6.3107
-70171	-	6.5175
-70168	+	6.3710
-69956	-	5.8459
-69816	+	6.1083
-69804	+	7.1585
-69644	-	5.9924
-69440	-	12.6506
-69416	-	6.7635
-69376	+	13.9621
-69098	+	6.1097
-69057	+	6.1643
-69045	-	9.2348
-69027	+	6.6628
-68914	-	9.2451
-68742	-	5.0950
-68693	-	7.1511
-68527	+	5.3208
-68425	+	5.2238
-68326	-	5.8459
-68282	+	5.9924
-68058	-	9.2514
-68024	-	6.2550
-67858	+	9.4538
-67650	+	5.2049
-67542	-	8.4931
-67463	+	12.9119
-67444	-	10.5566
-67189	+	5.5846
-66920	+	9.0447
-66822	+	5.3208
-66408	-	9.2514
-66378	-	6.7801
-66106	-	9.0447
-66030	-	8.7834
-66002	-	8.7834
-65974	-	8.7834
-65946	-	8.7834
-65918	-	8.7834
-65890	-	8.7834
-65862	-	8.7834
-65834	-	8.7834
-65806	-	8.7834
-65778	-	8.7834
-65750	-	8.7834
-65722	-	8.7834
-65694	-	8.7834
-65666	-	8.7834
-65638	-	8.7834
-65610	-	8.7834
-65582	-	8.7834
-65554	-	8.7834
-65526	-	8.7834
-65498	-	8.7834
-65470	-	8.7834
-65442	-	8.7834
-65414	-	8.7834
-65386	-	8.7834
-65358	-	8.7834
-65330	-	8.7834
-65302	-	8.7834
-65274	-	8.7834
-65246	-	8.7834
-65218	-	8.7834
-65190	-	8.7834
-65162	-	8.7834
-65134	-	8.7834
-65106	-	8.7834
-65078	-	8.7834
-65050	-	8.7834
-64982	+	10.5566
-64814	+	5.0950
-64794	-	6.7738
-64595	-	7.5308
-64572	-	7.3609
-64496	-	5.0950
-64337	-	6.0483
-64260	-	7.0985
-64228	-	8.0559
-63850	-	5.8459
-63843	-	7.2989
-63573	-	9.8861
-63069	-	5.2238
-63002	+	5.3564
-62757	-	5.2404
-62642	+	5.9924
-62396	+	5.2974
-62167	-	5.0337
-62065	+	8.6104
-61919	+	9.2514
-61821	-	10.8203
-61663	+	6.7801
-61490	-	5.8396
-61413	-	6.5734
-61260	+	7.4429
-61035	+	8.7263
-60989	-	8.7834
-60962	+	9.0447
-60874	-	6.9191
-60846	-	9.0447
-60669	+	5.1755
-60646	-	6.7801
-60287	-	8.5196
-60211	+	14.7141
-60072	-	8.8993
-59871	-	9.2514
-59769	+	5.3577
-59309	+	5.8459
-59217	-	11.4908
-59112	-	5.1755
-58795	+	8.7834
-58773	-	15.3846
-58418	-	6.4280
-58187	+	7.1585
-58067	-	9.5698
-57819	-	5.4938
-57816	+	6.1083
-57515	-	7.8226
-57479	-	5.0950
-57469	+	9.5698
-57436	+	5.3577
-57429	+	12.2428
-57369	+	5.1755
-56967	-	8.6104
-56945	-	8.7834
-56837	-	5.8459
-56262	+	9.0182
-56244	+	6.9812
-56195	-	6.0483
-56175	-	6.5734
-55971	-	5.1755
-55930	-	8.0840
-55650	-	6.7635
-55573	-	5.7489
-55566	+	10.0328
-55557	-	6.5734
-55537	+	9.5077
-55014	+	5.9029
-54931	+	6.2550
-54749	+	9.5077
-54673	-	7.8226
-54616	-	10.1793
-54440	-	9.5064
-54398	-	7.0972
-54322	-	6.0483
-54181	-	6.5100
-54126	+	5.8459
-54111	-	9.5077
-53965	-	5.4304
-53761	-	6.0483
-53737	-	9.5698
-53443	-	7.0985
-53159	-	6.5734
-53133	+	9.7702
-52909	+	12.5041
-52460	+	6.5175
-52341	+	12.5041
-52296	+	5.3208
-52264	+	5.9924
-52175	-	5.9029
-52142	-	5.2049
-52125	+	5.3778
-51844	-	5.7655
-51774	+	8.0559
-51690	-	9.2514
-51576	-	5.8459
-51525	-	6.7801
-51511	-	6.2739
-51493	-	10.1780
-51418	-	6.3647
-51415	+	12.2415
-51226	-	5.9924
-51061	-	8.7263
-50646	+	6.2550
-50403	-	5.8459
-50106	-	5.7299
-49962	+	6.3107
-49920	-	5.2238
-49886	-	7.2975
-49833	+	6.3544
-49804	-	5.2238
-49792	-	5.2238
-49635	-	10.1780
-49585	-	5.2238
-49557	-	5.2238
-49531	-	5.2238
-49521	-	5.2238
-49188	-	8.2012
-48958	-	5.3208
-48700	+	5.3208
-47987	+	5.1141
-47861	-	5.6392
-47846	-	12.5041
-47822	-	5.6392
-47523	-	6.3107
-47387	-	6.1643
-46953	-	9.2348
-46769	-	6.6628
-46706	-	8.9826
-46501	-	9.0986
-46489	+	9.7702
-46421	+	7.8290
-46191	-	6.0483
-46165	+	5.3208
-45982	-	13.3210
-45856	-	5.7856
-45692	+	5.8459
-45109	-	5.3513
-44907	+	9.0447
-44819	-	5.2404
-44446	-	5.8459
-44369	+	6.9812
-44084	+	9.9155
-43414	+	5.5771
-43198	+	5.3577
-43178	+	6.9825
-43133	+	5.3577
-43113	+	6.4574
-42963	+	8.7263
-42854	+	5.2404
-42716	-	9.5077
-42272	+	8.7849
-42093	+	8.3771
-41846	+	5.0950
-41526	+	6.5734
-41518	-	6.4561
-41182	-	12.2428
-41141	-	12.9132
-41078	+	9.9155
-41037	-	7.8290
-40940	-	8.0853
-40896	+	5.3577
-40823	-	5.0950
-40792	+	10.8497
-40631	+	7.4148
-40577	-	5.3577
-40544	-	6.6334
-40315	-	5.5833
-40284	-	6.5175
-40198	+	10.8203
-40149	-	6.1097
-39766	+	5.7655
-39730	+	5.7655
-39582	+	5.7655
-39286	-	7.1585
-39259	-	6.3710
-39206	+	5.7006
-39094	-	5.9029
-39070	-	6.4280
-38999	-	6.1097
-38975	+	6.2550
-38957	-	5.7655
-38843	-	6.5734
-38787	+	7.8290
-38684	-	5.0950
-38489	+	6.7801
-38405	-	9.5698
-38182	-	5.8751
-38103	-	5.5833
-37671	-	5.8293
-37595	+	6.6920
-37586	+	8.0559
-37459	+	6.0483
-37325	+	6.0483
-37280	+	6.2550
-37009	-	7.6223
-36999	+	9.0447
-36839	+	7.4148
-36750	-	7.5063
-36702	-	5.8459
-36693	+	6.5721
-36651	+	5.8293
-36558	+	5.1755
-36534	-	5.0950
-36277	-	5.3778
-36114	+	8.7263
-36063	+	7.6223
-35980	+	6.5175
-35909	+	7.0351
-35655	-	6.9812
-35611	-	8.7263
-35473	-	9.7599
-34026	-	6.2550
-34002	+	7.5602
-33970	+	6.5175
-33762	-	5.3778
-33666	+	6.7801
-33643	-	5.8459
-33621	-	6.3107
-33491	+	14.7141
-33389	-	9.4538
-33296	-	6.2550
-33282	-	5.3778
-33278	-	5.0950
-33275	+	8.5810
-33271	+	5.0950
-33200	-	5.0350
-33084	-	7.8226
-33064	+	8.0853
-32949	+	5.0950
-32829	+	5.0950
-32824	-	7.6223
-32730	+	6.1097
-32516	-	5.8459
-32367	+	5.7856
-32323	+	6.5734
-31924	+	8.7263
-31860	+	6.8358
-31746	-	6.6628
-31630	-	5.2238
-31609	+	6.1022
-31602	+	9.2451
-31354	-	11.3086
-30865	+	6.3544
-29480	-	6.0483
-29447	+	8.7834
-29368	+	5.5846
-29304	+	9.0182
-29231	+	5.7655
-29138	+	5.8459
-29081	+	8.0559
-28997	-	11.9790
-28943	+	9.5077
-28795	-	5.3778
-28737	-	5.1755
-28721	-	5.3208
-28599	-	5.7870
-28567	-	6.5175
-28459	-	5.6392
-28372	-	5.3577
-27899	+	6.7724
-27520	+	7.8124
-27451	-	6.5734
-27437	-	5.7299
-27429	+	5.5587
-27425	+	8.4282
-26993	-	8.0314
-26984	+	9.0182
-26812	-	6.7788
-26803	+	7.5602
-26784	+	8.3477
-26747	-	7.6223
-26677	-	8.7834
-26598	+	6.2537
-26513	+	5.8459
-26426	+	6.4280
-26363	-	6.5734
-25909	+	7.8290
-25639	-	6.0483
-25347	-	5.6392
-25190	-	9.0447
-25163	-	5.9029
-25151	-	8.7263
-25106	-	6.7801
-25088	-	8.3122
-25070	-	12.3882
-25046	-	9.5077
-25023	-	15.3846
-24939	-	9.2514
-24666	+	8.3122
-24439	-	5.8459
-24360	+	8.7834
-24323	+	6.5175
-23985	-	6.0483
-23906	-	6.1097
-23751	+	8.8373
-23748	-	7.2989
-23702	+	6.5175
-23646	-	8.3122
-23624	-	8.7263
-23605	-	9.0447
-23473	+	6.6273
-23365	+	6.4574
-21543	+	9.0447
-21348	-	6.7788
-21082	+	5.8459
-21043	+	13.2917
-20798	+	5.0950
-20787	+	7.6223
-20342	-	6.7801
-20290	-	5.0337
-19861	+	6.5100
-19802	-	5.9924
-19291	+	6.8795
-19272	+	13.9621
-19229	+	13.9621
-19067	-	8.5810
-19064	+	8.5810
-18759	-	6.5100
-18632	+	5.5846
-18599	-	5.8459
-18405	+	5.5232
-18331	-	11.9790
-18260	+	5.5846
-18251	-	6.7635
-18221	+	7.8290
-18140	+	6.1097
-18126	-	15.3846
-18037	+	8.9826
-17952	+	6.0483
-17942	+	9.2451
-17923	+	8.0559
-17910	+	5.3208
-17894	-	6.8358
-17717	+	5.8459
-17685	+	9.0447
-17628	+	5.8293
-17548	+	5.0950
-17538	+	6.5734
-17466	-	7.3039
-17445	+	8.0559
-17440	+	6.0483
-17337	-	9.4538
-17332	-	6.2550
-17071	+	8.5810
-17066	+	5.6392
-16940	+	8.7263
-16819	+	5.2251
-16791	-	7.0985
-16674	+	6.5175
-16494	+	5.3208
-16447	-	6.7724
-16399	-	6.5175
-16315	+	6.5734
-16152	+	7.5063
-16052	-	6.5175
-16045	+	7.9399
-15944	+	6.7788
-15733	-	5.9029
-15655	-	10.8203
-15032	+	5.0950
-14922	-	5.7856
-14625	-	5.3208
-14443	-	7.4429
-14325	+	8.7834
-14119	+	5.6392
-13980	-	7.8492
-13825	+	5.0950
-13684	+	6.5734
-13585	+	5.8293
-13561	+	8.4931
-13345	-	7.8226
-13110	-	5.8459
-13023	-	5.7856
-12827	-	6.5734
-12801	+	5.7856
-12516	-	5.7856
-12490	+	9.0447
-12255	+	5.0950
-12142	-	5.7856
-12116	+	6.5734
-12098	+	6.3120
-12095	-	5.8459
-11769	-	7.4442
-11631	-	6.5734
-11342	+	6.0483
-11046	+	5.0876
-10977	+	6.5100
